id_Experimento,Nombre,Tipo_exp,fecha_exp,VarXName,VarYName
1,Temperatura_2019-07-08,T,2019-07-10,Temperatura,Tiempo
2,Temperatura_10-07-2019,T,2019-07-10,Temperatura,Tiempo
3,Temperatura_10-07-2019,T,2019-07-10,Temperatura,Tiempo
4,Temperatura_10-07-2019,T,2019-07-10,Temperatura,Tiempo
5,Exp_Temp_16-07-2019,T,2019-07-16,Temperatura,Tiempo
7,Exp_Temp_16-07-2019,T,2019-07-16,Temperatura,Tiempo
8,CaidaLibre_16-07-2019,C,2019-07-16,Segundos,Experiento
9,Experimento1,T,2019-07-16,Temperatura,Tiempo
10,Exp_Temp_16-07-2019,T,2019-07-16,Temperatura,Tiempo
11,Exp_Temp_17-07-2019,T,2019-07-17,Temperatura,Tiempo
12,Exp_Lorenzo,T,2019-07-17,Temperatura,Tiempo
13,ExpTempLorenzo,T,2019-07-17,Temperatura,Tiempo
14,Prof-Lorenzo,T,2019-07-17,Temperatura,Tiempo
15,CaidaLibre_17-07-2019,C,2019-07-17,Segundos,Experiento
16,Exp_Temp_19-07-2019,T,2019-07-19,Temperatura,Tiempo
18,CaidaLibre_19-07-2019,C,2019-07-19,Segundos,Experiento
20,CaidaLibre_20-07-2019,C,2019-07-20,Segundos,Experiento
21,CaidaLibre_20-07-2019,C,2019-07-20,Segundos,Experiento
22,Exp_Temp_21-07-2019,T,2019-07-21,Temperatura,Tiempo
23,CaidaLibre_21-07-2019,C,2019-07-21,Segundos,Experiento
