id_Temperatura,Temp_Y,Tipo_Y,Tiempo_X,Tipo_X,Experimento_id_Experimento
787,197,Celsius (C),0,Segundos (s),17
788,46,Celsius (C),0.5,Segundos (s),17
789,197.46,Celsius (C),1,Segundos (s),17
790,197.46,Celsius (C),1.5,Segundos (s),17
791,197.95,Celsius (C),2,Segundos (s),17
792,2203,Celsius (C),2.5,Segundos (s),17
793,197.95,Celsius (C),3,Segundos (s),17
794,197.95,Celsius (C),3.5,Segundos (s),17
795,197.95,Celsius (C),4,Segundos (s),17
796,197.95,Celsius (C),4.5,Segundos (s),17
797,198.44,Celsius (C),5,Segundos (s),17
798,198,Celsius (C),5.5,Segundos (s),17
799,92,Celsius (C),6,Segundos (s),17
800,197.95,Celsius (C),6.5,Segundos (s),17
801,197.95,Celsius (C),7,Segundos (s),17
802,197.95,Celsius (C),7.5,Segundos (s),17
803,197.95,Celsius (C),8,Segundos (s),17
804,197.95,Celsius (C),8.5,Segundos (s),17
805,0,Celsius (C),9,Segundos (s),17
806,0,Celsius (C),9.5,Segundos (s),17
807,4405,Celsius (C),10,Segundos (s),17
808,197.46,Celsius (C),10.5,Segundos (s),17
809,500,Celsius (C),11,Segundos (s),17
810,500,Celsius (C),11.5,Segundos (s),17
811,467.25,Celsius (C),12,Segundos (s),17
812,393.94,Celsius (C),12.5,Segundos (s),17
813,195.01,Celsius (C),13,Segundos (s),17
814,183,Celsius (C),13.5,Segundos (s),17
815,77,Celsius (C),14,Segundos (s),17
816,169.6,Celsius (C),14.5,Segundos (s),17
817,167.16,Celsius (C),15,Segundos (s),17
818,161.29,Celsius (C),15.5,Segundos (s),17
819,149.07,Celsius (C),16,Segundos (s),17
820,139.78,Celsius (C),16.5,Segundos (s),17
821,135.87,Celsius (C),17,Segundos (s),17
822,138.32,Celsius (C),17.5,Segundos (s),17
823,176.93,Celsius (C),18,Segundos (s),17
824,4956,Celsius (C),18.5,Segundos (s),17
825,224.34,Celsius (C),19,Segundos (s),17
826,240.47,Celsius (C),19.5,Segundos (s),17
827,212.12,Celsius (C),20,Segundos (s),17
828,218.48,Celsius (C),20.5,Segundos (s),17
829,201.37,Celsius (C),21,Segundos (s),17
830,171,Celsius (C),21.5,Segundos (s),17
831,55,Celsius (C),22,Segundos (s),17
832,128.54,Celsius (C),22.5,Segundos (s),17
833,157.87,Celsius (C),23,Segundos (s),17
834,146.14,Celsius (C),23.5,Segundos (s),17
835,448.68,Celsius (C),24,Segundos (s),17
836,448.68,Celsius (C),24.5,Segundos (s),17
837,448.68,Celsius (C),25,Segundos (s),17
838,448.68,Celsius (C),25.5,Segundos (s),17
839,448.68,Celsius (C),26,Segundos (s),17
840,4956,Celsius (C),26.5,Segundos (s),17
841,448.68,Celsius (C),27,Segundos (s),17
842,448.19,Celsius (C),27.5,Segundos (s),17
843,448.19,Celsius (C),28,Segundos (s),17
844,448.68,Celsius (C),28.5,Segundos (s),17
845,448.68,Celsius (C),29,Segundos (s),17
846,448.19,Celsius (C),29.5,Segundos (s),17
847,448,Celsius (C),30,Segundos (s),17
848,19,Celsius (C),30.5,Segundos (s),17
849,448.19,Celsius (C),31,Segundos (s),17
850,30.3,Celsius (C),0,Segundos (s),19
851,0,Celsius (C),0.5,Segundos (s),19
852,29.81,Celsius (C),1,Segundos (s),19
853,30.3,Celsius (C),1.5,Segundos (s),19
854,30.3,Celsius (C),2,Segundos (s),19
855,30.3,Celsius (C),2.5,Segundos (s),19
856,30.3,Celsius (C),3,Segundos (s),19
857,30.3,Celsius (C),3.5,Segundos (s),19
858,30.3,Celsius (C),4,Segundos (s),19
859,30.3,Celsius (C),4.5,Segundos (s),19
860,30.3,Celsius (C),5,Segundos (s),19
861,30.79,Celsius (C),5.5,Segundos (s),19
862,30.79,Celsius (C),6,Segundos (s),19
863,31.28,Celsius (C),6.5,Segundos (s),19
864,31.28,Celsius (C),7,Segundos (s),19
865,31.28,Celsius (C),7.5,Segundos (s),19
866,31.28,Celsius (C),8,Segundos (s),19
