id_Temperatura,Temp_Y,Tipo_Y,Tiempo_X,Tipo_X,Experimento_id_Experimento
787,30.3,Celsius (C),0,Segundos (s),22
788,0,Celsius (C),0.5,Segundos (s),22
789,29.81,Celsius (C),1,Segundos (s),22
790,30.3,Celsius (C),1.5,Segundos (s),22
791,30.3,Celsius (C),2,Segundos (s),22
792,30.3,Celsius (C),2.5,Segundos (s),22
793,30.3,Celsius (C),3,Segundos (s),22
794,30.3,Celsius (C),3.5,Segundos (s),22
795,30.3,Celsius (C),4,Segundos (s),22
796,30.3,Celsius (C),4.5,Segundos (s),22
797,30.3,Celsius (C),5,Segundos (s),22
798,30.79,Celsius (C),5.5,Segundos (s),22
799,30.79,Celsius (C),6,Segundos (s),22
800,31.28,Celsius (C),6.5,Segundos (s),22
801,31.28,Celsius (C),7,Segundos (s),22
802,31.28,Celsius (C),7.5,Segundos (s),22
803,31.28,Celsius (C),8,Segundos (s),22
804,31.28,Celsius (C),8.5,Segundos (s),22
805,31.28,Celsius (C),9,Segundos (s),22
806,31.28,Celsius (C),9.5,Segundos (s),22
807,31.77,Celsius (C),10,Segundos (s),22
808,31.77,Celsius (C),10.5,Segundos (s),22
809,31.77,Celsius (C),11,Segundos (s),22
810,31.77,Celsius (C),11.5,Segundos (s),22
811,31.77,Celsius (C),12,Segundos (s),22
812,31.77,Celsius (C),12.5,Segundos (s),22
813,31.77,Celsius (C),13,Segundos (s),22
814,31.77,Celsius (C),13.5,Segundos (s),22
815,31.77,Celsius (C),14,Segundos (s),22
816,31.77,Celsius (C),14.5,Segundos (s),22
817,31.77,Celsius (C),15,Segundos (s),22
818,31.77,Celsius (C),15.5,Segundos (s),22
819,32.26,Celsius (C),16,Segundos (s),22
820,32.26,Celsius (C),16.5,Segundos (s),22
821,31.77,Celsius (C),17,Segundos (s),22
822,32.26,Celsius (C),17.5,Segundos (s),22
823,31.77,Celsius (C),18,Segundos (s),22
824,32.26,Celsius (C),18.5,Segundos (s),22
825,31.77,Celsius (C),19,Segundos (s),22
826,32.26,Celsius (C),19.5,Segundos (s),22
827,32.26,Celsius (C),20,Segundos (s),22
828,32.26,Celsius (C),20.5,Segundos (s),22
829,32.26,Celsius (C),21,Segundos (s),22
830,32.26,Celsius (C),21.5,Segundos (s),22
831,31.77,Celsius (C),22,Segundos (s),22
832,32.26,Celsius (C),22.5,Segundos (s),22
833,32.26,Celsius (C),23,Segundos (s),22
834,32.26,Celsius (C),23.5,Segundos (s),22
835,32.26,Celsius (C),24,Segundos (s),22
836,32.26,Celsius (C),24.5,Segundos (s),22
837,32.26,Celsius (C),25,Segundos (s),22
838,32.26,Celsius (C),25.5,Segundos (s),22
839,32.26,Celsius (C),26,Segundos (s),22
840,32.26,Celsius (C),26.5,Segundos (s),22
841,32.26,Celsius (C),27,Segundos (s),22
842,32.26,Celsius (C),27.5,Segundos (s),22
843,31.77,Celsius (C),28,Segundos (s),22
844,31.77,Celsius (C),28.5,Segundos (s),22
845,31.77,Celsius (C),29,Segundos (s),22
846,31.77,Celsius (C),29.5,Segundos (s),22
847,31.77,Celsius (C),30,Segundos (s),22
848,31.77,Celsius (C),30.5,Segundos (s),22
849,31.28,Celsius (C),31,Segundos (s),22
850,31.28,Celsius (C),31.5,Segundos (s),22
851,31.77,Celsius (C),32,Segundos (s),22
852,31.28,Celsius (C),32.5,Segundos (s),22
853,31.28,Celsius (C),33,Segundos (s),22
854,31.28,Celsius (C),33.5,Segundos (s),22
855,31.28,Celsius (C),34,Segundos (s),22
856,31.28,Celsius (C),34.5,Segundos (s),22
857,31.28,Celsius (C),35,Segundos (s),22
858,31.28,Celsius (C),35.5,Segundos (s),22
859,31.28,Celsius (C),36,Segundos (s),22
860,31.28,Celsius (C),36.5,Segundos (s),22
861,31.28,Celsius (C),37,Segundos (s),22
862,30.79,Celsius (C),37.5,Segundos (s),22
863,31.28,Celsius (C),38,Segundos (s),22
864,31.28,Celsius (C),38.5,Segundos (s),22
865,30.79,Celsius (C),39,Segundos (s),22
866,30.79,Celsius (C),39.5,Segundos (s),22
867,31.28,Celsius (C),40,Segundos (s),22
868,30.79,Celsius (C),40.5,Segundos (s),22
869,31.28,Celsius (C),41,Segundos (s),22
870,30.79,Celsius (C),41.5,Segundos (s),22
871,30.79,Celsius (C),42,Segundos (s),22
872,30.79,Celsius (C),42.5,Segundos (s),22
873,30.79,Celsius (C),43,Segundos (s),22
874,30.79,Celsius (C),43.5,Segundos (s),22
